ID,month,year,readability,age,age_LAV,length,weight,fin,mean eye d,sex,stage
1,9,1982,3,15,8,645,407,NA,NA,f,FV
2,9,1982,3,23,NA,630,390,NA,NA,f,FV
3,9,1982,NA,NA,7,630,445,NA,NA,f,FV
4,9,1982,3,15,6,500,218,NA,NA,f,FV
5,9,1982,3,10,5,415,113,NA,NA,m,FV
6,9,1982,2,17,6,690,490,NA,NA,f,FV
7,9,1982,3,17,5,510,230,NA,NA,f,FV
8,9,1982,3,20,7,680,570,NA,NA,f,FV
9,9,1982,2,18,NA,585,328,NA,NA,f,FV
10,9,1982,3,18,8,665,473,NA,NA,f,FV
11,9,1982,2,19,NA,660,471,NA,NA,f,FV
12,9,1982,2,19,11,690,464,NA,NA,f,FV
13,9,1982,3,21,5,530,268,NA,NA,f,FV
14,9,1982,3,14,5,575,270,NA,NA,f,FV
15,9,1982,3,16,7,525,209,NA,NA,f,FV
16,9,1982,3,19,7,580,300,NA,NA,f,FV
17,9,1982,3,21,9,695,552,NA,NA,f,FV
18,9,1982,2,10,4,440,161,NA,NA,m,FV
19,9,1982,3,11,3,425,120,NA,NA,m,FV
20,9,1982,2,14,6,515,219,NA,NA,f,FV
21,9,1982,2,13,5,380,83,NA,NA,m,FV
22,9,1982,3,16,7,590,329,NA,NA,f,FV
23,9,1982,3,20,6,625,368,NA,NA,f,FV
24,9,1982,3,19,7,490,206,NA,NA,f,FV
25,9,1982,2,12,5,535,240,NA,NA,f,FV
26,9,1982,2,22,5,450,154,NA,NA,m,FV
27,9,1982,3,18,6,630,422,NA,NA,f,FV
28,9,1982,2,11,4,375,89,NA,NA,m,FV
29,9,1982,2,11,6,390,125,NA,NA,m,FV
30,9,1982,3,18,8,660,508,NA,NA,f,FV
31,9,1982,2,14,4,425,129,NA,NA,m,FV
32,9,1982,NA,NA,7,395,94,NA,NA,m,FV
33,9,1982,2,22,6,660,435,NA,NA,f,FV
34,9,1982,3,17,10,670,532,NA,NA,f,FV
